transaction_id,entity,tr_type,txn_amount,txn_posted_timestamp,account_id,counter_party,balance_after_posted,sender_country,receiver_country,txn_eff_date
1466,HighMark LLC,CREDIT,3570.15,2017-02-10,1,Osvaldo Porter,65094.15,Finland,New York,2017-02-11
1467,HighMark LLC,CREDIT,692.51,2017-02-10,1,Laura Brant,65786.66,Iowa,New York,2017-02-11
1468,HighMark LLC,CREDIT,300.31,2017-02-10,1,Malka Cartwright,66086.97,Alabama,New York,2017-02-11
1469,HighMark LLC,CREDIT,1419.03,2017-02-10,1,Angela Harris,67506.0,Tennessee,New York,2017-02-11
1470,HighMark LLC,CREDIT,405.12,2017-02-10,1,Sandra Blair,67911.12,North Dakota,New York,2017-02-11
1471,HighMark LLC,CREDIT,954.36,2017-02-10,1,Anthony Smith,68865.48,Ireland,New York,2017-02-11
1472,HighMark LLC,CREDIT,1573.52,2017-02-10,1,Lucius Majure,70439.0,Wyoming,New York,2017-02-11
8,HighMark LLC,DEBIT,1969.04,2017-02-10,1,Amanda Alvarado,68469.96,New York,Tennessee,2017-02-11
9,HighMark LLC,DEBIT,2304.22,2017-02-10,1,David Duncan,66165.74,New York,Oregon,2017-02-11
1473,HighMark LLC,CREDIT,400.3,2017-02-10,1,Jason Alves,66566.04000000001,Wyoming,New York,2017-02-11
1474,HighMark LLC,CREDIT,2231.81,2017-02-10,1,Bryan Mui,68797.85,Hawaii,New York,2017-02-11
1475,HighMark LLC,CREDIT,1072.36,2017-02-10,1,Christin Walker,69870.21,Arizona,New York,2017-02-11
1476,HighMark LLC,CREDIT,1384.9,2017-02-10,1,Barbara Hazelrigg,71255.11,Romania,New York,2017-02-11
1477,HighMark LLC,CREDIT,588.0,2017-02-10,1,Amy Garland,71843.11,Slovenia,New York,2017-02-11
1478,HighMark LLC,CREDIT,527.08,2017-02-10,1,Louis Nguyen,72370.19,Hungary,New York,2017-02-11
1479,HighMark LLC,CREDIT,1006.67,2017-02-10,1,Susan Ware,73376.86,New York,New York,2017-02-11
1480,HighMark LLC,CREDIT,2090.21,2017-02-11,1,Catherine Kleine,75467.07,Maryland,New York,2017-02-12
1481,HighMark LLC,CREDIT,2728.15,2017-02-11,1,Victoria Laramie,78195.22,Nebraska,New York,2017-02-12
1482,HighMark LLC,CREDIT,544.52,2017-02-11,1,Maricruz Culver,78739.74,Maine,New York,2017-02-12
1483,HighMark LLC,CREDIT,1119.2,2017-02-12,1,Robert Dugger,79858.94,Slovenia,New York,2017-02-13
1484,HighMark LLC,CREDIT,5386.56,2017-02-12,1,Georgeanna Debem,85245.5,Iowa,New York,2017-02-13
1485,HighMark LLC,CREDIT,1347.22,2017-02-12,1,Sandra Blair,86592.72,North Dakota,New York,2017-02-13
23,HighMark LLC,DEBIT,3358.76,2017-02-12,1,Penelope Price,83233.96,New York,Texas,2017-02-13
1486,HighMark LLC,CREDIT,3783.62,2017-02-12,1,Edna Niese,87017.58,Virginia,New York,2017-02-13
1487,HighMark LLC,CREDIT,698.19,2017-02-12,1,Randi Folger,87715.77,Maryland,New York,2017-02-13
1488,HighMark LLC,CREDIT,834.61,2017-02-12,1,Susie Major,88550.38,Kansas,New York,2017-02-13
1489,HighMark LLC,CREDIT,319.5,2017-02-12,1,Edwin Highshaw,88869.88,Texas,New York,2017-02-13
1490,HighMark LLC,CREDIT,817.26,2017-02-12,1,Danny Singh,89687.14,Oklahoma,New York,2017-02-13
1491,HighMark LLC,CREDIT,5021.76,2017-02-12,1,Warren Nobles,94708.9,Idaho,New York,2017-02-13
1492,HighMark LLC,CREDIT,1448.63,2017-02-13,1,Anthony Smith,96157.53,Ireland,New York,2017-02-14
1493,HighMark LLC,CREDIT,2213.79,2017-02-13,1,Christin Walker,98371.31999999999,Arizona,New York,2017-02-14
1494,HighMark LLC,CREDIT,2905.75,2017-02-13,1,Daniel Walker,101277.06999999999,South Carolina,New York,2017-02-14
1495,HighMark LLC,CREDIT,1425.7,2017-02-13,1,Nancy Stutes,102702.76999999999,Nebraska,New York,2017-02-14
1496,HighMark LLC,CREDIT,1911.09,2017-02-13,1,Linda Henderson,104613.85999999999,Italy,New York,2017-02-14
1497,HighMark LLC,CREDIT,835.26,2017-02-13,1,Georgeanna Debem,105449.11999999998,Iowa,New York,2017-02-14
1498,HighMark LLC,CREDIT,265.6,2017-02-13,1,Vanessa Carter,105714.71999999999,Spain,New York,2017-02-14
1499,HighMark LLC,CREDIT,512.45,2017-02-13,1,Connie Posey,106227.16999999998,Wisconsin,New York,2017-02-14
1500,HighMark LLC,CREDIT,391.81,2017-02-13,1,Glenda Coots,106618.97999999998,Lithuania,New York,2017-02-14
1501,HighMark LLC,CREDIT,729.33,2017-02-13,1,James Cole,107348.30999999998,Wyoming,New York,2017-02-14
1502,HighMark LLC,CREDIT,1192.7,2017-02-13,1,John Nguyen,108541.00999999998,Alaska,New York,2017-02-14
1503,HighMark LLC,CREDIT,2365.82,2017-02-13,1,Samuel Carswell,110906.82999999999,Arkansas,New York,2017-02-14
1504,HighMark LLC,CREDIT,1808.21,2017-02-13,1,Bryan Mui,112715.04,Hawaii,New York,2017-02-14
1505,HighMark LLC,CREDIT,1036.06,2017-02-14,1,Gabriela Hardaway,113751.09999999999,Italy,New York,2017-02-15
1506,HighMark LLC,CREDIT,2684.95,2017-02-14,1,Anthony Barnes,116436.04999999999,Connecticut,New York,2017-02-15
45,HighMark LLC,DEBIT,1875.68,2017-02-14,1,Craig Bailey,114560.37,New York,Croatia,2017-02-15
46,HighMark LLC,DEBIT,6532.31,2017-02-14,1,Christina Creed,108028.06,New York,Mississippi,2017-02-15
1507,HighMark LLC,CREDIT,1899.11,2017-02-14,1,John Ackerman,109927.17,Montana,New York,2017-02-15
1508,HighMark LLC,CREDIT,1476.92,2017-02-14,1,Sandy Newkirk,111404.09,Czech Republic,New York,2017-02-15
1509,HighMark LLC,CREDIT,2486.5,2017-02-14,1,Loren Burgess,113890.59,Alabama,New York,2017-02-15
1510,HighMark LLC,CREDIT,1865.41,2017-02-14,1,Sofia Pinkerton,115756.0,Arkansas,New York,2017-02-15
1511,HighMark LLC,CREDIT,2471.03,2017-02-14,1,Willie Robinson,118227.03,South Dakota,New York,2017-02-15
1512,HighMark LLC,CREDIT,850.38,2017-02-14,1,John Hill,119077.41,Pennsylvania,New York,2017-02-15
1513,HighMark LLC,CREDIT,1328.27,2017-02-14,1,Matthew Ciotti,120405.68000000001,Hawaii,New York,2017-02-15
1514,HighMark LLC,CREDIT,699.55,2017-02-15,1,Antonette Grace,121105.23000000001,United Kingdom,New York,2017-02-16
1515,HighMark LLC,CREDIT,505.75,2017-02-15,1,Barbara Hazelrigg,121610.98000000001,Romania,New York,2017-02-16
1516,HighMark LLC,CREDIT,1809.01,2017-02-15,1,Brad Rose,123419.99,Rhode Island,New York,2017-02-16
1517,HighMark LLC,CREDIT,458.68,2017-02-15,1,Jose Chaves,123878.67,New Jersey,New York,2017-02-16
1518,HighMark LLC,CREDIT,3920.48,2017-02-15,1,Vanessa Carter,127799.15,Spain,New York,2017-02-16
59,HighMark LLC,DEBIT,8929.57,2017-02-15,1,Kenneth Hopkins,118869.57999999999,New York,India,2017-02-16
1519,HighMark LLC,CREDIT,1217.7,2017-02-15,1,Loren Burgess,120087.27999999998,Alabama,New York,2017-02-16
1520,HighMark LLC,CREDIT,1357.42,2017-02-15,1,Linda Henderson,121444.69999999998,Italy,New York,2017-02-16
1521,HighMark LLC,CREDIT,1123.85,2017-02-15,1,Edwin Highshaw,122568.54999999999,Texas,New York,2017-02-16
1522,HighMark LLC,CREDIT,836.84,2017-02-15,1,Gabriela Hardaway,123405.38999999998,Italy,New York,2017-02-16
1523,HighMark LLC,CREDIT,2470.09,2017-02-15,1,Juanita Nichell,125875.47999999998,Indiana,New York,2017-02-16
1524,HighMark LLC,CREDIT,430.87,2017-02-16,1,Loren Burgess,126306.34999999998,Alabama,New York,2017-02-17
1525,HighMark LLC,CREDIT,355.83,2017-02-16,1,Paul Green,126662.17999999998,Portugal,New York,2017-02-17
1526,HighMark LLC,CREDIT,2160.7,2017-02-16,1,Katie Spooner,128822.87999999998,New Mexico,New York,2017-02-17
1527,HighMark LLC,CREDIT,644.75,2017-02-16,1,Gerald Marchant,129467.62999999998,Idaho,New York,2017-02-17
1528,HighMark LLC,CREDIT,1915.54,2017-02-16,1,Kathryn Carter,131383.16999999998,Hawaii,New York,2017-02-17
1529,HighMark LLC,CREDIT,2559.85,2017-02-16,1,Anthony Smith,133943.02,Ireland,New York,2017-02-17
1530,HighMark LLC,CREDIT,378.98,2017-02-17,1,Bill Wagner,134322.0,Portugal,New York,2017-02-18
1531,HighMark LLC,CREDIT,791.19,2017-02-17,1,Sandra Blair,135113.19,North Dakota,New York,2017-02-18
1532,HighMark LLC,CREDIT,1767.97,2017-02-17,1,Joanne Fortin,136881.16,South Carolina,New York,2017-02-18
1533,HighMark LLC,CREDIT,1728.32,2017-02-17,1,Connie Posey,138609.48,Wisconsin,New York,2017-02-18
1534,HighMark LLC,CREDIT,2306.4,2017-02-17,1,Kathryn Carter,140915.88,Hawaii,New York,2017-02-18
76,HighMark LLC,DEBIT,6120.59,2017-02-17,1,Kenneth Hopkins,134795.29,New York,India,2017-02-18
1535,HighMark LLC,CREDIT,3295.02,2017-02-17,1,Brad Rose,138090.31,Rhode Island,New York,2017-02-18
1536,HighMark LLC,CREDIT,1233.08,2017-02-17,1,Malka Cartwright,139323.38999999998,Alabama,New York,2017-02-18
1537,HighMark LLC,CREDIT,252.19,2017-02-17,1,Catherine Kleine,139575.58,Maryland,New York,2017-02-18
1538,HighMark LLC,CREDIT,2287.0,2017-02-17,1,Jennifer Oday,141862.58,North Dakota,New York,2017-02-18
1539,HighMark LLC,CREDIT,982.82,2017-02-18,1,Laura Brant,142845.4,Iowa,New York,2017-02-19
1540,HighMark LLC,CREDIT,622.43,2017-02-18,1,Ronald Mills,143467.83,Netherlands,New York,2017-02-19
1541,HighMark LLC,CREDIT,369.45,2017-02-18,1,Carrie Morrison,143837.28,Belgium,New York,2017-02-19
84,HighMark LLC,DEBIT,4199.3,2017-02-18,1,Helen Melnick,139637.98,New York,Ireland,2017-02-19
85,HighMark LLC,DEBIT,7291.58,2017-02-18,1,Carole Cole,132346.40000000002,New York,Maryland,2017-02-19
1542,HighMark LLC,CREDIT,4607.58,2017-02-18,1,Katie Spooner,136953.98,New Mexico,New York,2017-02-19
1543,HighMark LLC,CREDIT,387.44,2017-02-18,1,Jose Chaves,137341.42,New Jersey,New York,2017-02-19
1544,HighMark LLC,CREDIT,1705.41,2017-02-18,1,Greg Hawkins,139046.83000000002,North Carolina,New York,2017-02-19
1545,HighMark LLC,CREDIT,1821.78,2017-02-18,1,Jason Alves,140868.61000000002,Wyoming,New York,2017-02-19
1546,HighMark LLC,CREDIT,2268.49,2017-02-19,1,Maricruz Culver,143137.1,Maine,New York,2017-02-20
1547,HighMark LLC,CREDIT,715.92,2017-02-19,1,Warren Nobles,143853.02000000002,Idaho,New York,2017-02-20
1548,HighMark LLC,CREDIT,951.93,2017-02-19,1,Ann Rosa,144804.95,Indiana,New York,2017-02-20
93,HighMark LLC,DEBIT,4955.91,2017-02-19,1,Willie Thompson,139849.04,New York,Slovenia,2017-02-20
94,HighMark LLC,DEBIT,3639.81,2017-02-19,1,Teresa Rosa,136209.23,New York,Connecticut,2017-02-20
95,HighMark LLC,DEBIT,2867.29,2017-02-19,1,Grace Krafft,133341.94,New York,North Carolina,2017-02-20
96,HighMark LLC,DEBIT,8678.07,2017-02-19,1,Kenneth Hopkins,124663.87,New York,India,2017-02-20
1549,HighMark LLC,CREDIT,1386.54,2017-02-19,1,Paul Green,126050.40999999999,Portugal,New York,2017-02-20
1550,HighMark LLC,CREDIT,2152.96,2017-02-19,1,Malka Cartwright,128203.37,Alabama,New York,2017-02-20
1551,HighMark LLC,CREDIT,2216.1,2017-02-19,1,Sandy Newkirk,130419.47,Czech Republic,New York,2017-02-20
1552,HighMark LLC,CREDIT,748.41,2017-02-19,1,Edna Niese,131167.88,Virginia,New York,2017-02-20
1553,HighMark LLC,CREDIT,2062.16,2017-02-19,1,Osvaldo Porter,133230.04,Finland,New York,2017-02-20
1554,HighMark LLC,CREDIT,291.29,2017-02-19,1,Sandra Blair,133521.33000000002,North Dakota,New York,2017-02-20
1555,HighMark LLC,CREDIT,1076.0,2017-02-19,1,Angela Harris,134597.33000000002,Tennessee,New York,2017-02-20
1556,HighMark LLC,CREDIT,1038.47,2017-02-19,1,Brenda Magnuson,135635.80000000002,Austria,New York,2017-02-20
1557,HighMark LLC,CREDIT,1647.26,2017-02-20,1,Mike Pickerel,137283.06000000003,North Dakota,New York,2017-02-21
1558,HighMark LLC,CREDIT,2862.06,2017-02-20,1,John Hill,140145.12000000002,Pennsylvania,New York,2017-02-21
1559,HighMark LLC,CREDIT,2980.38,2017-02-20,1,Lucius Majure,143125.50000000003,Wyoming,New York,2017-02-21
1560,HighMark LLC,CREDIT,4048.88,2017-02-20,1,Connie Posey,147174.38000000003,Wisconsin,New York,2017-02-21
1561,HighMark LLC,CREDIT,2375.77,2017-02-20,1,Brad Rose,149550.15000000002,Rhode Island,New York,2017-02-21
1562,HighMark LLC,CREDIT,1151.96,2017-02-20,1,Herbert Peevey,150702.11000000002,Sweden,New York,2017-02-21
1563,HighMark LLC,CREDIT,1202.42,2017-02-20,1,Laura Brant,151904.53000000003,Iowa,New York,2017-02-21
1564,HighMark LLC,CREDIT,1475.47,2017-02-20,1,John Nguyen,153380.00000000003,Alaska,New York,2017-02-21
1565,HighMark LLC,CREDIT,1191.39,2017-02-20,1,Gabriela Hardaway,154571.39000000004,Italy,New York,2017-02-21
1566,HighMark LLC,CREDIT,5324.1,2017-02-20,1,Bryan Mui,159895.49000000005,Hawaii,New York,2017-02-21
1567,HighMark LLC,CREDIT,2026.0,2017-02-21,1,Gerald Marchant,161921.49000000005,Idaho,New York,2017-02-22
1568,HighMark LLC,CREDIT,1466.56,2017-02-21,1,Edna Jones,163388.05000000005,Latvia,New York,2017-02-22
1569,HighMark LLC,CREDIT,797.12,2017-02-21,1,James Cole,164185.17000000004,Wyoming,New York,2017-02-22
1570,HighMark LLC,CREDIT,3761.58,2017-02-21,1,Jose Chaves,167946.75000000003,New Jersey,New York,2017-02-22
119,HighMark LLC,DEBIT,1866.45,2017-02-21,1,Ronnie Stone,166080.30000000002,New York,Maine,2017-02-22
1571,HighMark LLC,CREDIT,734.64,2017-02-21,1,William Stone,166814.94000000003,Bulgaria,New York,2017-02-22
1572,HighMark LLC,CREDIT,339.51,2017-02-21,1,Cheryl Trilli,167154.45000000004,Oregon,New York,2017-02-22
1573,HighMark LLC,CREDIT,552.69,2017-02-21,1,Mike Pickerel,167707.14000000004,North Dakota,New York,2017-02-22
1574,HighMark LLC,CREDIT,3016.72,2017-02-21,1,Katie Spooner,170723.86000000004,New Mexico,New York,2017-02-22
1575,HighMark LLC,CREDIT,1256.11,2017-02-22,1,Greg Hawkins,171979.97000000003,North Carolina,New York,2017-02-23
1576,HighMark LLC,CREDIT,358.09,2017-02-22,1,Gerald Marchant,172338.06000000003,Idaho,New York,2017-02-23
126,HighMark LLC,DEBIT,1721.22,2017-02-22,1,Amanda Alvarado,170616.84000000003,New York,Tennessee,2017-02-23
1577,HighMark LLC,CREDIT,430.43,2017-02-22,1,Michael Rice,171047.27000000002,Rhode Island,New York,2017-02-23
1578,HighMark LLC,CREDIT,2628.52,2017-02-22,1,Jennifer Perez,173675.79,France,New York,2017-02-23
1579,HighMark LLC,CREDIT,1289.6,2017-02-22,1,Mike Pickerel,174965.39,North Dakota,New York,2017-02-23
1580,HighMark LLC,CREDIT,1916.73,2017-02-22,1,Ronald Mills,176882.12000000002,Netherlands,New York,2017-02-23
1581,HighMark LLC,CREDIT,2027.53,2017-02-22,1,Amy Garland,178909.65000000002,Slovenia,New York,2017-02-23
1582,HighMark LLC,CREDIT,1042.06,2017-02-22,1,Susan Ware,179951.71000000002,New York,New York,2017-02-23
133,HighMark LLC,DEBIT,1982.9,2017-02-23,1,Christina Creed,177968.81000000003,New York,Mississippi,2017-02-24
1583,HighMark LLC,CREDIT,1083.15,2017-02-23,1,Jason Alves,179051.96000000002,Wyoming,New York,2017-02-24
1584,HighMark LLC,CREDIT,1071.82,2017-02-23,1,Tammy Orozco,180123.78000000003,Montana,New York,2017-02-24
1585,HighMark LLC,CREDIT,5179.05,2017-02-23,1,Anthony Barnes,185302.83000000002,Connecticut,New York,2017-02-24
1586,HighMark LLC,CREDIT,524.58,2017-02-23,1,James Gadbois,185827.41,Maryland,New York,2017-02-24
1587,HighMark LLC,CREDIT,2208.43,2017-02-23,1,Sofia Pinkerton,188035.84,Arkansas,New York,2017-02-24
1588,HighMark LLC,CREDIT,513.2,2017-02-23,1,Antonette Grace,188549.04,United Kingdom,New York,2017-02-24
1589,HighMark LLC,CREDIT,386.12,2017-02-23,1,Stan Tannenbaum,188935.16,Rhode Island,New York,2017-02-24
1590,HighMark LLC,CREDIT,1787.49,2017-02-24,1,Tammy Orozco,190722.65,Montana,New York,2017-02-25
1591,HighMark LLC,CREDIT,1830.65,2017-02-24,1,Vanessa Carter,192553.3,Spain,New York,2017-02-25
1592,HighMark LLC,CREDIT,1346.82,2017-02-24,1,Stan Tannenbaum,193900.12,Rhode Island,New York,2017-02-25
1593,HighMark LLC,CREDIT,575.91,2017-02-24,1,Matthew Ciotti,194476.03,Hawaii,New York,2017-02-25
1594,HighMark LLC,CREDIT,1738.44,2017-02-24,1,Juanita Nichell,196214.47,Indiana,New York,2017-02-25
1595,HighMark LLC,CREDIT,378.9,2017-02-24,1,Victoria Laramie,196593.37,Nebraska,New York,2017-02-25
1596,HighMark LLC,CREDIT,662.39,2017-02-24,1,Julio Mccabe,197255.76,Wisconsin,New York,2017-02-25
1597,HighMark LLC,CREDIT,3230.89,2017-02-24,1,Anthony Barnes,200486.65000000002,Connecticut,New York,2017-02-25
1598,HighMark LLC,CREDIT,1377.67,2017-02-24,1,Edwin Highshaw,201864.32000000004,Texas,New York,2017-02-25
150,HighMark LLC,DEBIT,4127.15,2017-02-24,1,Gwendolyn Morrison,197737.17000000004,New York,Maryland,2017-02-25
1599,HighMark LLC,CREDIT,4657.26,2017-02-25,1,Barbara Bale,202394.43000000005,Michigan,New York,2017-02-26
1600,HighMark LLC,CREDIT,794.53,2017-02-25,1,Mike Pickerel,203188.96000000005,North Dakota,New York,2017-02-26
1601,HighMark LLC,CREDIT,264.17,2017-02-25,1,Katie Spooner,203453.13000000006,New Mexico,New York,2017-02-26
154,HighMark LLC,DEBIT,3627.12,2017-02-25,1,Johnnie Lepage,199826.01000000007,New York,Connecticut,2017-02-26
1602,HighMark LLC,CREDIT,3023.27,2017-02-26,1,Juanita Nichell,202849.28000000006,Indiana,New York,2017-02-27
1603,HighMark LLC,CREDIT,1096.78,2017-02-26,1,Anthony Barnes,203946.06000000006,Connecticut,New York,2017-02-27
1604,HighMark LLC,CREDIT,1515.8,2017-02-26,1,Bill Wagner,205461.86000000004,Portugal,New York,2017-02-27
1605,HighMark LLC,CREDIT,784.02,2017-02-26,1,Darius Sherrill,206245.88000000003,Arkansas,New York,2017-02-27
1606,HighMark LLC,CREDIT,480.73,2017-02-26,1,Mike Pickerel,206726.61000000004,North Dakota,New York,2017-02-27
1607,HighMark LLC,CREDIT,547.66,2017-02-26,1,Sandra Blair,207274.27000000005,North Dakota,New York,2017-02-27
